,City,Country,Lat,Lng,Date,Max Temp,Min Temp,Wind Speed,Humidity,Cloudiness
46,Maxixe,MZ,-23.86,35.35,2019-06-05 23:06:18,61.81,61.81,6.62,88,0
47,Xining,CN,36.62,101.77,2019-06-05 23:06:19,51.73,51.73,1.68,60,14
48,Wattegama,LK,7.35,80.68,2019-06-05 23:06:20,74.05,74.05,3.44,86,99
49,Kapaa,US,22.08,-159.32,2019-06-05 23:06:20,82.4,80.01,14.99,69,40
50,Menongue,AO,-14.66,17.68,2019-06-05 23:06:21,49.75,49.75,2.73,44,0
51,Nouakchott,MR,18.08,-15.98,2019-06-05 23:06:06,71.6,71.6,4.7,78,0
52,Bredasdorp,ZA,-34.53,20.04,2019-06-05 23:06:22,51.8,50.0,8.05,87,59
53,Pangnirtung,CA,66.15,-65.72,2019-06-05 23:06:23,48.2,48.2,3.56,33,90
54,Castro,CL,-42.48,-73.76,2019-06-05 23:04:48,48.2,48.2,18.34,100,90
55,Carnarvon,ZA,-30.97,22.13,2019-06-05 23:04:45,42.19,42.19,8.66,69,66
56,Hilo,US,19.71,-155.08,2019-06-05 23:06:25,78.01,69.01,5.82,88,90
57,Nhulunbuy,AU,-12.18,136.78,2019-06-05 23:06:25,75.2,75.2,17.22,64,75
58,Mirabela,BR,-16.25,-44.16,2019-06-05 23:06:26,71.6,71.6,5.82,56,0
59,Mataura,NZ,-46.19,168.86,2019-06-05 23:06:26,41.0,41.0,8.9,83,76
60,Hofn,IS,64.25,-15.21,2019-06-05 23:06:27,30.13,30.13,23.0,83,100
61,Sechura,PE,-5.56,-80.82,2019-06-05 23:06:28,67.39,67.39,15.3,86,15
62,Huaicheng,CN,23.91,112.19,2019-06-05 23:06:28,79.99,79.99,2.37,85,99
63,Hetauda,NP,27.43,85.03,2019-06-05 23:06:29,69.8,69.8,4.7,94,75
64,Cap Malheureux,MU,-19.98,57.61,2019-06-05 23:06:30,73.4,72.0,17.22,73,40
65,Kununurra,AU,-15.77,128.74,2019-06-05 23:06:30,59.0,59.0,10.29,28,0
66,Yellowknife,CA,62.45,-114.38,2019-06-05 23:06:31,50.0,50.0,16.11,57,75
67,Souillac,FR,45.6,-0.6,2019-06-05 23:06:32,54.0,51.8,1.12,100,25
68,Kirakira,SB,-10.46,161.92,2019-06-05 23:06:32,83.77,83.77,13.27,77,94
69,Hobart,AU,-42.88,147.33,2019-06-05 23:06:16,55.99,51.01,1.12,57,75
70,Jamestown,AU,-33.21,138.6,2019-06-05 23:06:34,48.85,48.85,4.56,67,0
71,Busselton,AU,-33.64,115.35,2019-06-05 23:06:34,66.0,61.0,39.84,16,100
72,Harper,US,30.3,-99.24,2019-06-05 23:06:35,91.4,86.0,3.36,55,40
73,Srednekolymsk,RU,67.46,153.71,2019-06-05 23:06:36,48.31,48.31,15.05,36,94
74,Youghal,IE,51.95,-7.85,2019-06-05 23:06:37,48.2,48.0,6.93,87,75
75,Bosobolo,CD,4.19,19.88,2019-06-05 23:06:37,70.27,70.27,2.3,90,99
76,Coquimbo,CL,-29.95,-71.34,2019-06-05 23:06:38,55.4,55.4,6.93,87,40
77,Saskylakh,RU,71.97,114.09,2019-06-05 23:03:25,45.61,45.61,8.5,41,0
78,Severo-Kurilsk,RU,50.68,156.12,2019-06-05 23:06:39,41.29,41.29,7.83,98,99
79,Jiwani,PK,25.05,61.74,2019-06-05 23:06:40,86.11,86.11,2.84,82,81
80,Constitucion,MX,23.99,-104.67,2019-06-05 23:06:40,86.0,84.2,8.05,14,75
81,Bluff,AU,-23.58,149.07,2019-06-05 23:05:12,61.99,61.99,18.28,51,100
82,Magaria,NE,13.0,8.91,2019-06-05 23:06:41,97.99,97.99,9.69,24,79
83,Guerrero Negro,MX,27.97,-114.04,2019-06-05 23:06:42,65.59,65.59,12.93,85,5
84,Hithadhoo,MV,-0.6,73.08,2019-06-05 23:06:43,83.77,83.77,11.23,80,67
85,Mayumba,GA,-3.44,10.65,2019-06-05 23:06:43,74.95,74.95,5.64,82,94
86,Ostrovnoy,RU,68.05,39.51,2019-06-05 23:06:44,39.67,39.67,5.17,82,0
87,Saint-Philippe,CA,45.36,-73.48,2019-06-05 23:03:28,63.0,59.0,2.24,72,90
88,Victoria,BN,5.28,115.24,2019-06-05 23:03:11,80.6,78.01,1.12,94,75
89,Karratha,AU,-20.74,116.85,2019-06-05 23:06:46,65.41,65.41,23.24,23,0
90,Padang,ID,-0.92,100.36,2019-06-05 23:06:47,77.0,77.0,1.12,94,40
91,Nioro,GM,13.79,-15.05,2019-06-05 23:06:48,78.01,78.01,12.8,60,0
92,Thunder Bay,CA,48.41,-89.26,2019-06-05 23:06:49,68.0,57.99,5.82,49,75
93,Vila,IT,45.18,8.4,2019-06-05 23:06:49,71.01,57.99,8.05,52,40
94,Vaini,IN,15.34,74.49,2019-06-05 23:06:50,80.89,80.89,1.57,86,86
95,Chokurdakh,RU,70.62,147.9,2019-06-05 23:06:51,41.83,41.83,5.77,42,0
96,Tomatlan,MX,19.93,-105.25,2019-06-05 23:01:53,78.91,78.91,7.72,71,6
97,Puerto Ayora,EC,-0.74,-90.35,2019-06-05 23:06:52,84.2,75.0,12.75,54,75
98,Te Anau,NZ,-45.41,167.72,2019-06-05 23:06:52,37.69,37.69,4.74,93,89
99,Provideniya,RU,64.42,-173.23,2019-06-05 23:06:53,42.8,42.8,11.18,81,75
100,Aklavik,CA,68.22,-135.01,2019-06-05 23:06:54,60.8,60.8,10.29,41,40
101,Balkanabat,TM,39.51,54.36,2019-06-05 23:06:55,86.65,86.65,4.85,27,33
102,Las Cruces,CL,-33.5,-71.62,2019-06-05 23:03:31,59.0,55.4,2.24,93,90
103,Khatanga,RU,71.98,102.47,2019-06-05 23:03:47,53.71,53.71,4.41,54,27
104,Upernavik,GL,72.79,-56.15,2019-06-05 23:06:56,41.47,41.47,1.45,73,94
105,Bambous Virieux,MU,-20.34,57.76,2019-06-05 23:06:57,73.4,72.0,17.22,73,40
106,Joensuu,FI,62.6,29.76,2019-06-05 23:06:58,57.2,55.99,4.21,82,0
107,Tasiilaq,GL,65.61,-37.64,2019-06-05 23:06:04,35.6,35.6,4.7,61,0
108,Hasaki,JP,35.73,140.83,2019-06-05 23:06:59,72.0,69.8,4.7,88,75
109,Warrnambool,AU,-38.38,142.48,2019-06-05 23:06:59,54.0,53.01,3.0,94,98
110,Saint George,GR,39.45,22.34,2019-06-05 23:07:00,64.4,60.8,4.07,100,40
111,Hambantota,LK,6.12,81.12,2019-06-05 23:07:01,82.87,82.87,15.5,82,100
112,Mackay,CA,53.65,-115.58,2019-06-05 23:07:01,55.4,55.4,8.05,58,75
113,Boende,CD,-0.28,20.88,2019-06-05 23:07:02,72.07,72.07,1.9,64,98
114,Torbay,CA,47.66,-52.73,2019-06-05 23:07:03,57.2,54.0,19.46,58,90
115,Belmonte,PT,40.36,-7.35,2019-06-05 23:07:03,46.0,46.0,1.01,81,21
116,Nome,US,30.04,-94.42,2019-06-05 23:07:04,78.01,73.0,24.16,94,90
117,Auki,NG,12.18,6.51,2019-06-05 23:07:05,90.43,90.43,11.39,35,37
118,Marrakesh,MA,31.63,-7.99,2019-06-05 23:07:05,66.2,66.2,11.41,48,0
119,Port Shepstone,ZA,-30.74,30.45,2019-06-05 23:07:06,55.69,55.69,3.42,84,75
120,Shache,CN,38.42,77.24,2019-06-05 23:07:07,78.01,78.01,10.8,70,100
121,Abu Samrah,SY,35.3,37.18,2019-06-05 23:07:07,78.91,78.91,4.16,26,91
122,Saint-Pierre,FR,48.95,4.24,2019-06-05 23:07:09,53.6,50.0,12.75,93,75
123,Atuona,PF,-9.8,-139.03,2019-06-05 23:07:09,82.51,82.51,18.84,76,29
124,Dingle,PH,11.0,122.67,2019-06-05 23:03:52,84.49,84.49,10.18,64,99
125,Qaanaaq,GL,77.48,-69.36,2019-06-05 23:07:10,27.43,27.43,1.41,77,98
126,Rutana,BI,-3.93,29.99,2019-06-05 23:07:11,65.05,65.05,1.48,84,4
127,Camocim,BR,-2.9,-40.84,2019-06-05 23:07:12,76.75,76.75,5.77,88,31
128,Chifeng,CN,42.27,118.96,2019-06-05 23:07:12,67.21,67.21,6.64,50,62
129,Snasa,NO,64.25,12.38,2019-06-05 23:07:13,53.53,53.53,0.63,78,88
130,Thompson,CA,55.74,-97.86,2019-06-05 23:07:11,57.2,57.2,3.36,82,75
131,Apodi,BR,-5.66,-37.8,2019-06-05 23:05:14,75.67,75.67,7.45,87,44
132,Tiksi,RU,71.64,128.87,2019-06-05 23:07:15,33.19,33.19,8.61,73,0
133,Ninohe,JP,40.27,141.31,2019-06-05 23:07:15,55.4,55.4,6.93,100,90
134,Sitka,US,37.17,-99.65,2019-06-05 23:07:16,73.99,73.99,1.99,75,35
135,Lasalgaon,IN,20.14,74.24,2019-06-05 23:07:16,80.89,80.89,15.26,58,9
136,Venice,US,27.1,-82.45,2019-06-05 23:06:42,90.0,86.0,9.17,62,1
137,Arraial do Cabo,BR,-22.97,-42.02,2019-06-05 23:07:18,66.2,66.2,2.24,88,75
138,Lubu,CN,23.17,112.28,2019-06-05 23:07:18,79.45,79.45,2.55,90,90
139,Kamien Pomorski,PL,53.97,14.77,2019-06-05 23:07:19,73.4,70.0,11.41,56,0
140,Hamilton,CA,43.26,-79.87,2019-06-05 23:06:18,68.0,55.0,14.99,93,90
141,Vung Tau,VN,10.35,107.08,2019-06-05 23:07:20,83.59,83.59,7.81,78,94
142,Chippewa Falls,US,44.94,-91.39,2019-06-05 23:07:21,79.0,77.0,10.29,57,1
143,Najran,SA,17.54,44.22,2019-06-05 23:06:18,82.4,82.4,4.54,17,0
144,San Luis,AR,-33.3,-66.34,2019-06-05 23:07:22,59.11,59.11,9.62,61,95
145,Nikolskoye,RU,59.7,30.79,2019-06-05 23:07:23,62.6,57.99,2.24,67,0
146,Buraydah,SA,26.33,43.97,2019-06-05 23:07:24,87.8,87.8,4.7,19,0
147,Zhuanghe,CN,39.7,122.97,2019-06-05 23:07:25,64.33,64.33,5.06,86,100
148,Kahului,US,20.89,-156.47,2019-06-05 23:07:25,91.4,77.0,13.87,43,40
149,Lebu,ET,8.96,38.73,2019-06-05 23:06:00,59.0,59.0,4.7,72,20
150,Preobrazheniye,RU,42.9,133.91,2019-06-05 23:07:26,60.73,60.73,4.97,70,52
151,Egvekinot,RU,66.32,-179.17,2019-06-05 23:07:27,45.97,45.97,5.3,79,100
152,Pinar del Rio,CU,22.42,-83.7,2019-06-05 23:07:28,79.99,79.99,2.46,84,85
153,Brae,GB,60.4,-1.35,2019-06-05 23:07:28,48.2,48.2,1.12,87,48
154,Linhares,BR,-19.38,-40.06,2019-06-05 23:07:29,64.69,64.69,6.44,81,0
155,Bilma,NE,18.69,12.92,2019-06-05 23:07:30,93.49,93.49,8.79,17,36
156,Igarka,RU,67.47,86.57,2019-06-05 23:07:30,43.63,43.63,10.18,92,97
157,Marsh Harbour,BS,26.54,-77.06,2019-06-05 23:07:31,80.71,80.71,10.74,78,33
158,Carahue,CL,-38.71,-73.16,2019-06-05 23:07:31,55.4,55.4,9.17,87,90
159,Peniche,PT,39.36,-9.38,2019-06-05 23:07:32,59.0,50.0,5.82,72,20
160,Grand-Santi,GF,4.27,-54.38,2019-06-05 23:07:33,73.69,73.69,2.21,98,71
161,Norwalk,US,33.91,-118.08,2019-06-05 23:07:33,84.0,64.0,6.71,60,1
162,Ribeira Grande,PT,38.52,-28.7,2019-06-05 23:03:28,64.69,64.69,16.42,87,2
163,Belle Fourche,US,44.67,-103.85,2019-06-05 23:04:05,73.99,69.01,11.41,64,1
164,Druzhba,UA,49.36,25.65,2019-06-05 23:07:35,64.99,64.99,3.0,72,69
165,New Norfolk,AU,-42.78,147.06,2019-06-05 23:05:11,55.99,51.01,1.12,57,75
166,Paamiut,GL,61.99,-49.67,2019-06-05 23:03:05,40.21,40.21,25.77,71,100
167,Hobyo,SO,5.35,48.53,2019-06-05 23:07:37,80.89,80.89,23.04,68,100
168,Dubna,RU,56.76,37.14,2019-06-05 23:07:38,56.59,56.59,3.69,91,0
169,Kutum,SD,14.2,24.66,2019-06-05 23:03:48,80.35,80.35,8.68,48,100
170,Namatanai,PG,-3.66,152.44,2019-06-05 23:07:39,81.43,81.43,8.37,83,55
171,Mezen,RU,65.85,44.24,2019-06-05 23:03:51,38.23,38.23,9.53,90,38
172,Tokur,RU,53.13,132.9,2019-06-05 23:07:40,63.07,63.07,5.79,46,0
173,Pachino,IT,36.72,15.09,2019-06-05 23:07:41,60.8,60.01,3.36,72,0
174,Moundou,TD,8.57,16.07,2019-06-05 23:07:41,80.17,80.17,6.91,69,94
175,Ust-Tsilma,RU,65.44,52.15,2019-06-05 23:07:42,47.95,47.95,9.22,88,85
176,Vestmanna,FO,62.16,-7.17,2019-06-05 23:07:42,42.8,42.8,6.93,93,99
177,Isangel,VU,-19.55,169.27,2019-06-05 23:04:32,77.0,77.0,5.82,83,90
178,Bandarbeyla,SO,9.49,50.81,2019-06-05 23:07:44,79.09,79.09,11.97,74,100
179,Qasigiannguit,GL,68.82,-51.19,2019-06-05 23:07:44,42.8,42.8,5.82,52,5
180,Kieta,PG,-6.22,155.63,2019-06-05 23:07:45,84.85,84.85,8.72,71,98
181,Tessalit,ML,20.2,1.01,2019-06-05 23:07:45,93.31,93.31,7.18,9,0
182,Bathsheba,BB,13.22,-59.52,2019-06-05 23:06:26,82.4,82.4,13.87,74,20
183,Vershino-Darasunskiy,RU,52.35,115.52,2019-06-05 23:07:47,57.67,57.67,2.51,54,16
184,Avera,US,33.19,-82.53,2019-06-05 23:07:47,81.0,73.0,5.82,94,40
185,Ponta do Sol,BR,-20.63,-46.0,2019-06-05 23:07:48,53.89,53.89,5.06,90,0
186,Quchan,IR,37.11,58.51,2019-06-05 23:07:07,60.01,60.01,3.06,43,0
187,Jucuaran,SV,13.25,-88.25,2019-06-05 23:07:49,86.0,86.0,3.36,84,75
188,Peringat,MY,5.99,102.3,2019-06-05 23:07:50,77.0,77.0,3.36,100,90
189,Ustyuzhna,RU,58.84,36.43,2019-06-05 23:07:50,58.93,58.93,2.48,84,16
190,Stuttgart,DE,48.78,9.18,2019-06-05 23:07:51,73.0,64.99,5.82,53,0
191,Sao Filipe,CV,14.9,-24.5,2019-06-05 23:07:52,74.77,74.77,13.29,84,36
192,Manokwari,ID,-0.87,134.08,2019-06-05 23:07:52,80.35,80.35,4.29,65,79
193,Oussouye,SN,12.49,-16.54,2019-06-05 23:05:07,78.8,78.8,2.24,78,0
194,Chapais,CA,49.78,-74.86,2019-06-05 23:07:54,50.0,50.0,12.75,66,90
195,Cayenne,GF,4.94,-52.33,2019-06-05 23:04:48,80.6,80.6,4.7,83,20
196,Narsaq,GL,60.91,-46.05,2019-06-05 23:07:55,46.4,46.4,10.29,55,100
197,San Cristobal,EC,-0.39,-78.55,2019-06-05 23:07:56,68.0,53.01,14.99,56,40
198,Trincomalee,LK,8.58,81.23,2019-06-05 23:07:56,77.83,77.83,6.13,85,100
199,Northam,GB,51.04,-4.21,2019-06-05 23:07:57,52.0,45.0,1.12,76,40
200,Aykhal,RU,65.95,111.51,2019-06-05 23:07:58,51.8,51.8,2.24,81,0
201,Samarai,PG,-10.62,150.67,2019-06-05 23:07:58,76.39,76.39,7.78,93,100
202,Simga,IN,21.63,81.7,2019-06-05 23:07:59,96.37,96.37,5.48,25,42
203,Ca Mau,VN,9.18,105.15,2019-06-05 23:07:59,81.61,81.61,2.21,85,100
204,Salekhard,RU,66.54,66.62,2019-06-05 23:08:00,32.65,32.65,11.86,84,87
205,Kurchum,KZ,48.57,83.65,2019-06-05 23:08:01,54.43,54.43,5.93,75,95
206,Morococha,PE,-11.61,-76.13,2019-06-05 23:08:01,36.97,36.97,3.8,54,45
207,La Palma,CO,5.36,-74.39,2019-06-05 23:08:03,74.95,74.95,2.59,79,92
208,Rundu,NA,-17.91,19.77,2019-06-05 23:08:03,55.4,55.4,2.24,27,0
209,Kampong Thum,KH,12.71,104.89,2019-06-05 23:08:04,83.59,83.59,3.65,71,94
210,San Quintin,PH,17.54,120.52,2019-06-05 23:08:05,87.01,87.01,1.92,63,91
211,Les Cayes,HT,18.19,-73.75,2019-06-05 23:07:40,82.69,82.69,15.82,81,15
212,Chuy,UY,-33.69,-53.46,2019-06-05 23:08:06,64.15,64.15,17.22,73,95
213,Lompoc,US,34.64,-120.46,2019-06-05 23:08:06,75.99,60.8,8.05,82,90
214,Lagos,NG,6.46,3.39,2019-06-05 23:08:07,80.6,80.6,3.36,88,40
215,Solhan,TR,38.97,41.05,2019-06-05 23:08:08,52.27,52.27,2.95,48,95
216,Tura,IN,25.52,90.21,2019-06-05 23:08:08,78.55,78.55,6.38,78,99
217,Touros,BR,-5.2,-35.46,2019-06-05 23:03:18,77.0,77.0,3.36,88,20
218,Luanda,AO,-8.83,13.24,2019-06-05 23:08:10,73.4,73.4,4.7,88,75
219,Faanui,PF,-16.48,-151.75,2019-06-05 23:08:10,81.97,81.97,19.26,79,4
220,Krosno Odrzanskie,PL,52.05,15.1,2019-06-05 23:07:34,72.0,68.0,8.05,77,0
221,Fort Nelson,CA,58.81,-122.69,2019-06-05 23:08:11,55.4,55.4,8.05,50,75
222,Vallenar,CL,-28.58,-70.76,2019-06-05 23:03:29,59.65,59.65,1.28,62,45
223,Alpena,US,45.06,-83.43,2019-06-05 23:08:13,55.99,48.99,3.36,76,90
224,Bambanglipuro,ID,-7.95,110.28,2019-06-05 23:08:13,78.55,78.55,7.38,85,66
225,Cherskiy,RU,68.75,161.3,2019-06-05 23:08:14,44.71,44.71,7.81,30,60
226,Ilulissat,GL,69.22,-51.1,2019-06-05 23:05:27,42.8,42.8,5.82,52,5
227,East London,ZA,-33.02,27.91,2019-06-05 23:04:41,49.39,49.39,3.8,70,99
228,Tiznit,MA,29.7,-9.73,2019-06-05 23:08:16,67.75,67.75,13.09,79,0
229,Lorengau,PG,-2.02,147.27,2019-06-05 23:08:16,85.39,85.39,6.22,71,96
230,Balakhta,RU,55.38,91.62,2019-06-05 23:08:17,56.95,56.95,3.62,59,7
231,El Sauzal,AR,-24.3,-64.96,2019-06-05 23:08:17,60.8,60.8,5.82,82,0
232,Kaitangata,NZ,-46.28,169.85,2019-06-05 23:08:18,48.99,48.99,3.0,70,84
233,Sibu,MY,2.29,111.83,2019-06-05 23:08:19,77.0,77.0,4.7,94,75
234,Severna Park,US,39.07,-76.55,2019-06-05 23:08:19,81.0,75.99,4.7,74,90
235,Terrace,CA,54.52,-128.61,2019-06-05 23:08:20,66.99,60.8,4.7,41,75
236,Quatre Cocos,MU,-20.21,57.76,2019-06-05 23:08:21,73.4,72.0,17.22,73,40
237,Ambunti,PG,-4.22,142.82,2019-06-05 23:08:21,84.67,84.67,0.78,70,99
238,Codrington,AU,-28.95,153.24,2019-06-05 23:08:22,57.0,50.0,5.82,87,0
239,Visegrad,BA,43.78,19.3,2019-06-05 23:08:23,52.27,52.27,3.94,98,100
240,College,US,64.86,-147.8,2019-06-05 23:08:24,71.01,66.0,2.37,34,75
241,Salalah,OM,17.01,54.1,2019-06-05 23:08:24,86.0,86.0,8.05,79,40
242,Okha,RU,53.59,142.95,2019-06-05 23:08:25,40.21,40.21,4.74,86,35
243,Gladstone,AU,-23.84,151.26,2019-06-05 23:08:26,63.0,60.8,6.93,55,40
244,Jambi,ID,-1.6,103.62,2019-06-05 23:08:26,75.85,75.85,2.98,95,100
245,Port Hawkesbury,CA,45.62,-61.36,2019-06-05 23:08:27,55.0,48.0,9.17,81,90
246,Cody,US,44.53,-109.06,2019-06-05 23:05:36,82.99,75.2,6.93,19,1
247,Ahuimanu,US,21.44,-157.84,2019-06-05 23:08:28,86.0,80.01,11.41,54,75
248,Tommot,RU,58.97,126.27,2019-06-05 23:08:29,72.61,72.61,2.75,53,42
249,Shenjiamen,CN,29.96,122.3,2019-06-05 23:08:29,75.67,75.67,16.31,86,100
250,Lagoa,PT,37.14,-8.45,2019-06-05 23:06:20,61.0,57.0,13.87,55,0
251,Nanortalik,GL,60.14,-45.24,2019-06-05 23:03:45,40.21,40.21,22.88,67,98
252,Beidao,CN,34.57,105.89,2019-06-05 23:05:07,61.63,61.63,0.69,64,100
253,Osmena,PH,12.17,124.59,2019-06-05 23:08:32,82.15,82.15,6.51,78,98
254,Taoudenni,ML,22.68,-3.98,2019-06-05 23:08:32,97.27,97.27,6.02,11,0
255,Dulce Grande,MX,23.0,-102.17,2019-06-05 23:08:33,75.2,75.2,17.22,44,75
256,Riyadh,SA,24.63,46.72,2019-06-05 23:08:34,86.0,86.0,3.36,13,0
257,Russell,AR,-33.01,-68.8,2019-06-05 23:08:34,57.2,57.2,3.36,71,0
258,Yaan,NG,7.38,8.57,2019-06-05 23:08:35,76.39,76.39,8.59,89,100
259,Marshall,US,39.39,-87.69,2019-06-05 23:08:36,89.01,71.6,5.82,83,90
260,Tanout,NE,14.97,8.88,2019-06-05 23:08:37,97.09,97.09,10.25,17,91
261,Mahebourg,MU,-20.41,57.7,2019-06-05 23:08:37,73.4,72.0,17.22,73,40
262,Muzhi,RU,65.4,64.7,2019-06-05 23:08:38,32.11,32.11,7.49,93,98
263,Nuuk,GL,64.17,-51.74,2019-06-05 23:04:38,48.2,46.0,11.41,58,75
264,Lucapa,AO,-8.42,20.74,2019-06-05 23:08:39,64.15,64.15,3.56,42,11
265,Magdagachi,RU,53.45,125.8,2019-06-05 23:08:40,71.89,71.89,2.55,53,1
266,Clyde River,CA,70.47,-68.59,2019-06-05 23:08:40,33.8,33.8,5.82,100,90
267,El Zulia,CO,7.93,-72.6,2019-06-05 23:08:41,89.6,89.6,17.22,38,40
268,Kaseda,JP,31.42,130.32,2019-06-05 23:08:42,71.6,68.0,1.12,100,75
269,Belaya Gora,RU,68.54,146.19,2019-06-05 23:08:42,51.91,51.91,6.96,28,0
270,Druten,NL,51.89,5.6,2019-06-05 23:08:43,64.99,51.8,14.99,93,75
271,Klaipeda,LT,55.72,21.12,2019-06-05 23:08:44,68.0,68.0,5.82,68,0
272,Bage,NG,10.95,11.38,2019-06-05 23:08:44,87.55,87.55,15.59,51,99
273,Coihaique,CL,-45.58,-72.07,2019-06-05 23:08:45,44.6,41.0,4.7,87,75
274,Port Keats,AU,-14.25,129.55,2019-06-05 23:08:46,68.11,68.11,21.12,33,0
275,Nuevo Progreso,US,26.05,-97.95,2019-06-05 23:08:46,96.8,77.0,13.87,55,1
276,Nouadhibou,MR,20.93,-17.03,2019-06-05 23:08:47,69.8,69.8,19.46,73,0
277,Bud,NO,62.91,6.91,2019-06-05 23:08:47,53.01,48.2,2.24,93,100
278,Leshukonskoye,RU,64.9,45.76,2019-06-05 23:08:48,43.27,43.27,9.17,83,67
279,Vila Franca do Campo,PT,37.72,-25.43,2019-06-05 23:08:49,62.6,62.6,9.17,82,40
280,Vila Velha,BR,-3.71,-38.6,2019-06-05 23:08:49,82.4,81.0,8.05,74,20
281,Sakaiminato,JP,35.55,133.23,2019-06-05 23:08:50,68.0,66.2,4.7,68,20
282,Tarauaca,BR,-8.16,-70.77,2019-06-05 23:08:51,75.13,75.13,1.66,74,25
